Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"4,2417E-05","0,014216","-0,0067866",0,0,0,6,"0,012704","2,2802E-18","5,5823E-06","0,016608","-3,2535E-15","0,0041213",0,0,0,0,0,0,package://Assemblyfix2/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Assemblyfix2/meshes/base_link.STL,,Part 2-4-1;Part 1-3-1;Part 19-1-6;Part 19-1-2;Part 19-1-7;Ultrasonic HC-SR04-1;Part 19-1-8;PG36-1-4;PG36-1-2;Ultrasonic HC-SR04-2;Part 18-1-3;Part 18-1-2;Part 18-1-1;Part 18-1-4;Part 19-1-3;Ultrasonic HC-SR04-4;Part 19-1-1;PG36-1-1;PG36-1-3;Ultrasonic HC-SR04-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rodakananbawah_Link,"-7,08E-08","-7,5112E-08","-0,023421",0,0,0,"0,1728","4,6952E-05","8,8421E-18","-6,2487E-18","4,6952E-05","-6,7545E-18","6,4174E-05",0,0,0,0,0,0,package://Assemblyfix2/meshes/rodakananbawah_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Assemblyfix2/meshes/rodakananbawah_Link.STL,,RODA1-1,Coordinate System2,Axis1,joint_kanan_bawah,continuous,"0,18345","-0,19987","-0,0044227","1,5708",0,"1,5708",base_link,0,0,-1,,,,,,,,,,,,
rodakanan_atas_Link,"-7,08E-08","7,5112E-08","-0,023829",0,0,0,"0,1728","4,6952E-05","-8,8405E-18","6,1965E-18","4,6952E-05","-6,7669E-18","6,4174E-05",0,0,0,0,0,0,package://Assemblyfix2/meshes/rodakanan_atas_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Assemblyfix2/meshes/rodakanan_atas_Link.STL,,RODA1-2,Coordinate System3,Axis2,joint_kanan_atas,continuous,"0,4",0,0,0,0,0,rodakananbawah_Link,0,0,-1,,,,,,,,,,,,
roda_kiri_atas_Link,"7,5112E-08","-7,08E-08","0,023829",0,0,0,"0,1728","4,6952E-05","-8,839E-18","6,7911E-18","4,6952E-05","-6,2199E-18","6,4174E-05",0,0,0,0,0,0,package://Assemblyfix2/meshes/roda_kiri_atas_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Assemblyfix2/meshes/roda_kiri_atas_Link.STL,,RODA1-3,Coordinate System4,Axis3,joint_roda_kiriatas,continuous,0,0,"-0,3665",0,0,0,rodakanan_atas_Link,0,0,1,,,,,,,,,,,,
rodakiri_bawah_Link,"2,5511E-08","-1,0002E-07","0,023829",0,0,0,"0,1728","4,6952E-05","-2,0434E-17","2,3817E-18","4,6952E-05","-8,9014E-18","6,4174E-05",0,0,0,0,0,0,package://Assemblyfix2/meshes/rodakiri_bawah_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Assemblyfix2/meshes/rodakiri_bawah_Link.STL,,RODA1-4,Coordinate System5,Axis4,joint_rodakiri_bawah,continuous,"-0,4",0,0,0,0,0,roda_kiri_atas_Link,0,0,1,,,,,,,,,,,,
